Macroscopic Cross Section,Inverse Cross Section,Mean Free Path,Variance,Standard Deviation,Coefficient of Variation
0.000001,1000000.000000,979323.913415,1035923886285.660000,1017803.461522,1.039292
0.000002,500000.000000,493550.610368,245343515694.770000,495321.628535,1.003588
0.000003,333333.333333,347125.826191,121314454152.913000,348302.245403,1.003389
0.000004,250000.000000,244371.390202,55416674144.454600,235407.464080,0.963318
0.000005,200000.000000,196864.546726,40831990130.250200,202069.270623,1.026438
0.000006,166666.666667,166044.155681,30792053729.420800,175476.647248,1.056807
0.000007,142857.142857,144509.372536,20648101499.581300,143694.472752,0.994361
0.000008,125000.000000,120051.480856,14482154041.965100,120341.821666,1.002418
0.000009,111111.111111,115713.807416,12467061663.776100,111655.996990,0.964932
0.000010,100000.000000,100253.341603,9552073967.353160,97734.712193,0.974877
0.000020,50000.000000,51111.680607,2592240933.301230,50914.054379,0.996133
0.000030,33333.333333,32429.665231,1051371512.165250,32424.859478,0.999852
0.000040,25000.000000,23621.880118,543582943.243032,23314.865285,0.987003
0.000050,20000.000000,19933.926734,384992001.401265,19621.213046,0.984312
0.000060,16666.666667,17176.435978,285816133.161832,16906.097514,0.984261
0.000070,14285.714286,14021.247448,195079874.921864,13967.099732,0.996138
0.000080,12500.000000,12564.015446,157725143.523470,12558.867127,0.999590
0.000090,11111.111111,11240.240347,137911684.140480,11743.580550,1.044780
0.000100,10000.000000,10097.158536,100179346.644406,10008.963315,0.991265
0.000200,5000.000000,4716.032543,23586374.194559,4856.580504,1.029802
0.000300,3333.333333,3284.484433,11933092.694776,3454.430879,1.051742
0.000400,2500.000000,2444.572622,5718954.971466,2391.433664,0.978262
0.000500,2000.000000,1924.242050,3342204.455549,1828.169701,0.950073
0.000600,1666.666667,1652.443391,2781260.452570,1667.711142,1.009240
0.000700,1428.571429,1432.090041,2032606.067484,1425.694942,0.995534
0.000800,1250.000000,1169.696199,1274436.335935,1128.909357,0.965130
0.000900,1111.111111,1071.929288,1076292.088393,1037.444981,0.967830
0.001000,1000.000000,972.092244,886496.245263,941.539296,0.968570
0.002000,500.000000,506.932091,268094.959958,517.778872,1.021397
0.003000,333.333333,344.740972,126723.271099,355.982122,1.032608
0.004000,250.000000,246.284653,65212.536972,255.367455,1.036879
0.005000,200.000000,194.645896,36728.517391,191.646856,0.984592
0.006000,166.666667,166.322075,28703.405671,169.420795,1.018631
0.007000,142.857143,156.888113,23371.594861,152.877712,0.974438
0.008000,125.000000,127.665926,16470.144768,128.336062,1.005249
0.009000,111.111111,114.679952,13321.912861,115.420591,1.006458
0.010000,100.000000,101.320071,9497.374139,97.454472,0.961848
0.020000,50.000000,49.858053,2583.577210,50.828901,1.019472
0.030000,33.333333,32.267512,963.123575,31.034232,0.961780
0.040000,25.000000,25.320981,630.793551,25.115604,0.991889
0.050000,20.000000,19.861698,370.476859,19.247775,0.969090
0.060000,16.666667,16.293593,242.055885,15.558145,0.954863
0.070000,14.285714,14.134599,187.710701,13.700755,0.969306
